s, r2, r3, Result
2.2, 4.165, 4.3549999999999995, 461.2815730756635
2.2, 4.165, 4.404999999999999, 463.8500078098636
2.2, 4.165, 4.455, 466.41551994708004
2.2, 4.165, 4.505, 468.97811184204966
2.2, 4.165, 4.555, 471.5377884779121
2.2, 4.165, 4.6049999999999995, 474.0945520798595
2.2, 4.165, 4.654999999999999, 476.64841309951163
2.2, 4.1850000000000005, 4.305, 459.74239870869184
2.2, 4.1850000000000005, 4.3549999999999995, 462.3137663281386
2.2, 4.1850000000000005, 4.404999999999999, 464.88220106094343
2.2, 4.1850000000000005, 4.455, 467.44771319815976
2.2, 4.1850000000000005, 4.505, 470.0103050931098
2.2, 4.1850000000000005, 4.555, 472.5699789831683
2.2, 4.1850000000000005, 4.6049999999999995, 475.12674532948313
2.2, 4.1850000000000005, 4.654999999999999, 477.68060634913434
2.3, 3.805, 4.305, 438.96737937073084
2.3, 3.805, 4.3549999999999995, 441.53242247939284
2.3, 3.805, 4.404999999999999, 444.09454255217867
2.3, 3.805, 4.455, 446.6537421504215
2.3, 3.805, 4.505, 449.2100311185662
2.3, 3.805, 4.555, 451.7634119976747
2.3, 3.805, 4.6049999999999995, 454.3138872219413
2.3, 3.805, 4.654999999999999, 456.86146678844335
2.3, 3.825, 4.305, 440.00555678594134
2.3, 3.825, 4.3549999999999995, 442.57059989458463
2.3, 3.825, 4.404999999999999, 445.1327175357162
2.3, 3.825, 4.455, 447.6919195638033
2.3, 3.825, 4.505, 450.24820853198645
2.3, 3.825, 4.555, 452.80158941109374
2.3, 3.825, 4.6049999999999995, 455.3520646334755
2.3, 3.825, 4.654999999999999, 457.8996441999985
2.3, 3.845, 4.305, 441.0432579332548
2.3, 3.845, 4.3549999999999995, 443.60830104191655
2.3, 3.845, 4.404999999999999, 446.17041868128854
2.3, 3.845, 4.455, 448.7296207093744
2.3, 3.845, 4.505, 451.28590967755736
2.3, 3.845, 4.555, 453.8392905566457
2.3, 3.845, 4.6049999999999995, 456.3897657772133
2.3, 3.845, 4.654999999999999, 458.9373453437366
2.3, 3.865, 4.305, 442.0804831403632
2.3, 3.865, 4.3549999999999995, 444.6455262490268
2.3, 3.865, 4.404999999999999, 447.2076438866471
2.3, 3.865, 4.455, 449.76684591475225
2.3, 3.865, 4.505, 452.3231348829355
2.3, 3.865, 4.555, 454.87651323322746
2.3, 3.865, 4.6049999999999995, 457.4269909807882
2.3, 3.865, 4.654999999999999, 459.974570547291
2.3, 3.8850000000000002, 4.305, 443.1172327345837
2.3, 3.8850000000000002, 4.3549999999999995, 445.6822734089293
