2019-03-05 18:50:50,867 [1,1,1,2.1,[623.2520011041081, 905.5619224731906]]
2019-03-05 18:50:50,867 [1,1,1,2.2,[629.3103096344356, 853.4664178709527]]
2019-03-05 18:50:50,867 [[0,0.0,6.000000000000002]]
2019-03-05 18:50:50,867 [[1,228.02739797883075,460.5158176721223]]
2019-03-05 18:50:50,868 [[2,176.91516490100463,332.942452296021]]
2019-03-05 18:50:50,868 [[3,400.38038416561943,830.0091255955468]]
2019-03-05 18:50:50,868 [[4,194.77563943795843,267.8501071321859]]
2019-03-05 18:50:50,868 [[5,440.5693647355446,764.9129537983897]]
2019-03-05 18:50:50,868 [[6,359.87905214456094,602.2858090248775]]
2019-03-05 18:50:50,868 [[7,571.3554772902155,1111.5952822652127]]
2019-03-05 18:51:06,008 [Configuration:]
2019-03-05 18:51:06,008 [0,0,0,2.0,[0.0, 6.000000000000002]]
2019-03-05 18:51:06,009 [0,0,0,2.1,[0.0, 6.000000000000002]]
2019-03-05 18:51:06,009 [0,0,0,2.2,[0.0, 6.000000000000002]]
2019-03-05 18:51:06,009 [1,0,0,2.0,[267.25295826601047, 416.152544245845]]
2019-03-05 18:51:06,009 [1,0,0,2.1,[244.17269057487923, 422.04158123057846]]
2019-03-05 18:51:06,009 [1,0,0,2.2,[226.49320345168468, 402.38911754072785]]
2019-03-05 18:51:06,009 [0,1,0,2.0,[200.20785596301047, 310.78010717373496]]
2019-03-05 18:51:06,009 [0,1,0,2.1,[198.53099067616745, 268.94492526824416]]
2019-03-05 18:51:06,009 [0,1,0,2.2,[187.71444602045688, 268.92936601273004]]
2019-03-05 18:51:06,009 [1,1,0,2.0,[457.53968652106613, 713.4415117174005]]
2019-03-05 18:51:06,009 [1,1,0,2.1,[444.6518958224418, 665.9612372028597]]
2019-03-05 18:51:06,009 [1,1,0,2.2,[440.0830112757992, 671.2725974838647]]
2019-03-05 18:51:06,009 [0,0,1,2.0,[221.13288695228633, 249.07419030529854]]
2019-03-05 18:51:06,009 [0,0,1,2.1,[210.95789782336163, 239.2855713129652]]
2019-03-05 18:51:06,009 [0,0,1,2.2,[217.41317107182158, 220.99529574504382]]
2019-03-05 18:51:06,009 [1,0,1,2.0,[509.5410964069622, 676.1945322588394]]
2019-03-05 18:51:06,009 [1,0,1,2.1,[451.9594303542471, 613.1505921323248]]
2019-03-05 18:51:06,009 [1,0,1,2.2,[445.0360607817682, 610.2810971004728]]
2019-03-05 18:51:06,009 [0,1,1,2.0,[451.9038840851068, 519.7029587462878]]
2019-03-05 18:51:06,009 [0,1,1,2.1,[425.7474892573678, 512.3690439820177]]
2019-03-05 18:51:06,009 [0,1,1,2.2,[386.82868602287203, 493.8730639720329]]
2019-03-05 18:51:06,009 [1,1,1,2.0,[686.9605458047184, 956.5793048743656]]
2019-03-05 18:51:06,009 [1,1,1,2.1,[666.3965149592601, 904.9032733844598]]
